,idno,author-short,title-short,title-full,year-performance,genre,subgenre,subgenre-simple,structure,form,decade,location,country,periode
tc0395,tc0395,Moline,Legislatrices,Les legislatrices,(non représentée),drama,Comédie,comédie,un acte,vers,(non représentée0s,Île déserte,(inconu),XVIIIème
tc0396,tc0396,Colle,Cocatrix,Cocatrix,1731,drama,Comédie,comédie,un acte,vers,1730s,Paris,Arabie,(non indiqué)
tc0398,tc0398,Boissy,Critique,La critique,N/A,drama,Comédie,comédie,un acte,vers,N/0s,Parnasse,France,XVIIIème
tc0399,tc0399,CorneilleP,Illusion-comique,L'illusion comique,1636,drama,Comédie,comédie,cinq actes,vers,1630s,Touraine,France,XVIIème
tc0400,tc0400,Anseaume,Cendrillon,Cendrillon,1759,drama,Comédie,comédie,un acte,mixte,1750s,Lieu féérique,Pays féérique,Temps féériques
tc0402,tc0402,Dorat,Célibataire,Le célibataire,1775,drama,Comédie,comédie,cinq actes,vers,1770s,Campagne,France,XVIIIème
tc0404,tc0404,Maréchal,Jugement-dernier,Le jugement dernier des rois,1793,drama,Comédie,comédie,un acte,prose,1790s,Paris,France,XVIIIème
tc0405,tc0405,Musset,On-ne-badine-pas,On ne badine pas avec l'amour,N/A,drama,Comédie,comédie,cinq actes,prose,N/0s,France,France,XVIème
tc0406,tc0406,LebeauDeSchosme,Assemblée,L'assemblée,1773,drama,Comédie,comédie,un acte,vers,1770s,Paris,France,XVIIème
tc0411,tc0411,Anonyme,Dialogue-Voltaire-Rousseau,Dialogue entre voltaire et rousseau,(inconnue),drama,Comédie,comédie,un acte,mixte,(inconnue0s,Enfer,Pays mythologique,XVIIIème
tc0412,tc0412,DonneauDeVisé,Zélinde,Zélinde ou la véritable crtique de l'école des femmes ou la critique de la critique,1663,drama,Comédie,comédie,un acte,prose,1660s,Paris,France,XVIIème
tc0414,tc0414,Archambault,Hurlubrelu,Hurlubrelu ou tout de travers,N/A,drama,Comédie,comédie,un acte,prose,N/0s,Paris,France,XVIIIème
tc0415,tc0415,Scarron,Gardien,Le gardien de soi-même,1654,drama,Comédie,comédie,cinq actes,vers,1650s,Naples,Italie,XVIIème
tc0418,tc0418,Regnard+Dufresny,Naissance-Amadis,La naissance d'amadis,1694,drama,Comédie,comédie,un acte,mixte,1690s,Palais de Carinther,France,Temps mythologiques
