role_id,civil,type,statut,age,stat_amour
tc0095-LANGE,,H,ange,A,néant
tc0095-SATAN,,H,ange,A,néant
tc0198-ARLEQUIN,,H,gouverneur,A,néant
tc0198-COLOMBINE,,H,duègne,A,néant
tc0198-ISABELLE,,H,bourgeois,A,néant
tc0198-MARINETTE,,H,bourgeois,A,néant
tc0198-PASQUARIEL,,H,bourgeois,A,néant
tc0198-MEZZETIN,,H,bourgeois,A,néant
tc0198-PIERROT,,H,eunuque,A,néant
tc0198-OCTAVE,,H,bourgeois,A,Isabelle
tc0198-HYMEN,,D,dieu,A,néant
tc0198-UNCABARETIER,,H,cabaretier,A,néant
tc0198-FEMMEDUCABARETIER,,H,cabaretier,A,néant
tc0198-UNPROCUREUR,,H,procureur,A,néant
tc0198-FEMMEDUPROCUREUR,,H,procureur,A,néant
tc0198-UNJARDINIER,,H,jardinier,A,néant
tc0198-FEMMEDUJARDINIER,,H,jardinier,A,néant
tc0198-UNJEUNEHOMME,,H,bourgeois,J,néant
tc0198-FEMMEDUJEUNEHOMME,,H,bourgeois,V,néant
tc0198-AUTRESACTEURS,,H,bourgeois,A,néant
tc0294-GUILLAUME,,H,paysan,A,marié
tc0294-MADAMEGULLAUME,,H,paysan,A,marié
tc0294-LEROI,,H,roi,A,néant
tc0294-ARLEQUIN,,H,capitaine,A,néant
tc0294-DEUXHUSSARDS,,H,hussard,A,néant
tc0397-MONSIEURDEFLORVILLE,,H,aristocrate,A,néant
tc0397-MADAMEDEFLORVILLE,,H,aristocrate,A,néant
tc0397-MARTON,,H,suivante,A,néant
tc0397-DORIMENE,,H,aristocrate,A,néant
tc0397-BLAISE,,H,jardinier,A,néant
tc0397-GERAULT,,H,garde-chasse,A,néant
tc0800-LEPRESIDENTDESAINVILLE,,H,aristocrate,A,néant
tc0800-SAINVILLE,,H,aristocrate,J,néant
tc0800-LABARONNE,,H,baron,A,néant
tc0800-ANGELIQUE,,H,bourgeois,J,néant
tc0800-LAGOUVERNANTE,,H,gouvernante,A,néant
tc0800-JULIETTE,,H,bourgeois,A,néant
tc0800-UNLAQUAIS,,H,laquais,A,néant
tc0616-LARENOMMEE,,H,allegorie,A,néant
tc0616-CHOEURRENOMMEE,,H,choeur,A,néant
tc0616-CINQTROMPETTES,,H,musicien,A,néant
tc0616-VINGTSUIVANTSRENOMMEECHANTANTS,,H,suivant,A,néant
tc0616-NEPTUNE,,D,dieu,A,néant
tc0616-SUITEDENEPTUNE,,D,suite,A,néant
tc0616-SIXTRITONS,,D,animal,A,néant
tc0616-DEUXTRITONS,,D,animal,A,néant
tc0616-HUITDIEUXMARINS,,D,dieu,A,néant
tc0616-APOLLON,,D,dieu,A,néant
tc0616-SUITEDAPOLLON,,D,suite,A,néant
tc0616-CINQ-MUSES-CHANTANTES,,F,muse,A,néant
tc0616-CLIO,,D,muse,A,néant
tc0616-CALLIOPE,,D,muse,A,néant
tc0616-MELPOMENE,,D,muse,A,néant
tc0616-THALIE,,D,muse,A,néant
tc0616-URNAIE,,D,muse,A,néant
tc0616-QUATRE-MUSES-QUI-JOUENT-DES-INSTRUMENTS,,D,muse,A,néant
tc0616-ERATO,,D,muse,A,néant
tc0616-EUTERPE,,D,muse,A,néant
tc0616-TERPSICHORE,,D,muse,A,néant
tc0616-POLYMNIE,,H,muse,A,néant
tc0616-SEPTARTSLIBERAUX,,P,muse,A,néant
tc0616-HIERAX,,H,,A,néant
tc0616-PIRANTE,,H,,A,néant
tc0616-IO,,H,,A,néant
tc0616-MYCENE,,H,,A,néant
tc0616-MERCURE,,H,,A,néant
tc0616-CHOEURSDEDIVINITESDELATERRE,,H,,A,néant
tc0616-TROUPEDEDIVINITESDELATERRE,,H,,A,néant
tc0616-JUPITER,,D,dieu,A,néant
tc0616-IRIS,,D,dieu,A,néant
tc0616-JUNON,,D,dieu,A,néant
tc0616-HEBE,,D,dieu,A,néant
tc0616-JEUXETPLAISIRS,,D,plaisir,A,néant
tc0616-TROUPEDENYMPHES,,D,choeur,A,néant
tc0616-ARGUS,,D,dieu,A,néant
tc0616-SYRINX,,D,nymphe,A,néant
tc0616-CHOEURETTROUPEDENYMPHES,,D,nymphe,A,néant
tc0616-PAN,,D,sylvain,A,néant
tc0616-CHOEURETTROUPEDEBERGERS,,H,berger,A,néant
tc0616-CHOEURETTROUPEDESATYRES,,D,satyre,A,néant
tc0616-CHOEURETTROUPEDESYLVAINS,,D,sylvain,A,néant
tc0616-ERINNIS,,D,furie,A,néant
tc0616-CHOEURETTROUPEDEPEUPLESDECLIMATSGLACES,,P,allégorie,A,néant
tc0616-DEUXCONDUCTEURSDESCHALYBES,,H,conducteur,A,néant
tc0616-SUITEDEPARQUES,,D,parque,A,néant
tc0616-LESTROISPARQUES,,D,parque,A,néant
tc0616-CHOEURDEDIVINITESCELESTES,,D,ieu,A,néant
tc0616-CHOEURETTROUPESDESPEUPLESDEGYPTE,,H,peuple,A,néant
tc0752-SEMIRAMIS,,P,oeuvre,A,néant
tc0752-LEXPOSITION,,P,élément de rhétorique,A,néant
tc0752-LEDENOUEMENT,,P,élément de rhétorique,A,néant
tc0752-LINTERET,,P,sentiment,A,néant
tc0752-LAPITIE,,P,sentiment,A,néant
tc0752-LACABALE,,P,événement,A,néant
tc0752-LESREMORDS,,P,sentiment,A,néant
tc0752-LACTION,,P,élément de rhétorique,A,néant
tc0752-LENOEUD,,P,élément de rhétorique,A,néant
tc0752-LERECIT,,P,élément de rhétorique,A,néant
tc0752-LAFICTION,,P,élément de rhétorique,A,néant
tc0752-LESTYLE,,P,élément de rhétorique,A,néant
tc0752-LATERREUR,,P,sentiment,A,néant
tc0752-LALANGUEUR,,P,sentiment,A,néant
tc0752-LADECORATION,,P,élément de rhétorique,A,néant
tc0752-LOMBREDUGRANDCORNEILLE,,H,fantôme,M,néant
tc0752-PLUSIEURSBEAUTES,,P,qualité,A,néant
tc0752-TROUPESDEDEFAUTS,,P,qualité,A,néant
tc0418-CARINTHER,,H,roi,A,néant
tc0418-ELIZENE,,H,prince,A,néant
tc0418-PERION,,H,chevalier,A,néant
tc0418-GALAOR,,H,écuyer,A,néant
tc0418-DARIOLETTE,,H,suivante,A,néant
tc0418-UNEOMBRE,,H,ombre,A,néant
tc0418-GARDES,,H,garde,A,néant
tc0165-LAPRINCESSEDEBARCELONE,,H,prince,A,néant
tc0165-HORTENSE,,H,aristocrate,A,néant
tc0165-LE-PRINCE,,H,prince,A,néant
tc0165-FREDERIC,,H,ministre,A,néant
tc0165-ARLEQUIN,,H,valet,A,néant
tc0165-LISETTE,,H,bourgeois,A,néant
tc0165-UN-GARDE,,H,garde,A,néant
tc0165-FEMMES,,H,suivante,A,néant
tc0165-LAMBASSADEUR,,H,ambassadeur,A,néant
tc0794-MONSIEURRENAUDDUBOULOIR,,H,avocat,A,néant
tc0794-MADAMEDERUPERT,,H,aristocrate,A,néant
tc0794-LECHEVALIERDESAINT-RIEUL,,H,chevalier,A,néant
tc0794-LAPIERRE,,H,laquais,A,néant
tc0119-NINUS,,H,roi,A,néant
tc0119-SEMIRAMIS,,H,roi,A,néant
tc0119-PRAZIMENE,,H,prince,A,néant
tc0119-MELISTRATE,,H,général,A,néant
tc0119-ORONCLIDE,,H,prince,A,néant
tc0119-MERZABANE,,H,prince,A,néant
tc0119-ZENOPIRE,,H,prince,A,néant
tc0119-CAMBISES,,H,prince,A,néant
tc0119-PALMEDON,,H,écuyer,A,néant
tc0119-LESGARDES,,H,garde,A,néant
tc0594-DEJANIRE,,D,prince,A,hérasclès
tc0594-LASERVANTE,,H,servante,A,néant
tc0594-HYLLOS,,H,prince,A,néant
tc0594-HERACLES,,H,héros,A,Déjanire
tc0594-LECHOEUR,,H,choeur,A,néant
tc0594-LEMESSAGER,,H,messager,V,néant
tc0594-LICHAS,,H,serviteur,A,néant
tc0819-LIGNON,,P,fleuve,A,néant
tc0819-JOURDAIN,,P,fleuve,A,néant
tc0819-PIERROT,,H,paysan,A,néant
